timestamp,open,high,low,close,volume
2024-06-01 00:00:00,68000.0,68005.72,67975.04,67986.7,14.877
2024-06-01 00:01:00,67986.7,67988.12,67951.07,67976.23,16.13
2024-06-01 00:02:00,67976.23,68015.0,67971.55,67981.93,9.129
2024-06-01 00:03:00,67981.93,68000.55,67964.66,67996.35,14.55
2024-06-01 00:04:00,67996.35,68024.33,67993.77,68002.71,7.038
2024-06-01 00:05:00,68002.71,68025.68,67994.92,67998.4,15.356
2024-06-01 00:06:00,67998.4,68027.81,67960.02,68000.94,9.22
2024-06-01 00:07:00,68000.94,68013.0,67973.14,67979.69,5.717
2024-06-01 00:08:00,67979.69,67985.44,67975.05,67979.68,20.156
2024-06-01 00:09:00,67979.68,68023.7,67931.67,68010.55,5.985
2024-06-01 00:10:00,68010.55,68070.52,67995.91,68022.78,7.382
2024-06-01 00:11:00,68022.78,68023.68,67965.42,67972.48,15.797
2024-06-01 00:12:00,67972.48,67992.35,67925.13,67954.73,29.183
2024-06-01 00:13:00,67954.73,67982.1,67925.13,67962.05,16.249
2024-06-01 00:14:00,67962.05,67994.39,67922.61,67992.26,13.801
2024-06-01 00:15:00,67992.26,68051.29,67969.9,68016.32,28.075
2024-06-01 00:16:00,68016.32,68056.76,67989.5,68051.13,7.757
2024-06-01 00:17:00,68051.13,68057.67,68027.93,68045.09,20.048
2024-06-01 00:18:00,68045.09,68095.25,68034.82,68093.69,12.118
2024-06-01 00:19:00,68093.69,68105.34,68047.65,68097.58,13.664
2024-06-01 00:20:00,68097.58,68147.7,68067.22,68098.61,5.953
2024-06-01 00:21:00,68098.61,68102.51,68085.22,68090.64,17.566
2024-06-01 00:22:00,68090.64,68091.11,68089.4,68090.21,17.95
2024-06-01 00:23:00,68090.21,68113.04,68059.9,68099.2,28.169
2024-06-01 00:24:00,68099.2,68152.89,68056.45,68143.41,9.612
2024-06-01 00:25:00,68143.41,68188.33,68118.12,68137.81,15.507
2024-06-01 00:26:00,68137.81,68191.11,68127.59,68163.34,23.092
2024-06-01 00:27:00,68163.34,68180.76,68136.59,68143.53,26.281
2024-06-01 00:28:00,68143.53,68177.98,68105.97,68114.88,7.249
2024-06-01 00:29:00,68114.88,68148.62,68071.29,68101.67,9.384
2024-06-01 00:30:00,68101.67,68128.92,68046.63,68066.5,19.958
2024-06-01 00:31:00,68066.5,68074.72,68041.58,68042.37,13.913
2024-06-01 00:32:00,68042.37,68045.65,68020.95,68026.57,16.736
2024-06-01 00:33:00,68026.57,68043.05,68003.07,68016.15,18.538
2024-06-01 00:34:00,68016.15,68068.49,67970.75,68041.76,7.527
2024-06-01 00:35:00,68041.76,68044.7,68030.52,68037.28,24.864
2024-06-01 00:36:00,68037.28,68082.83,67985.11,68002.84,8.36
2024-06-01 00:37:00,68002.84,68052.44,67953.62,68049.63,29.291
2024-06-01 00:38:00,68049.63,68061.56,68038.68,68061.05,24.113
2024-06-01 00:39:00,68061.05,68112.7,68030.3,68041.23,29.651
2024-06-01 00:40:00,68041.23,68097.06,68028.48,68065.69,9.365
2024-06-01 00:41:00,68065.69,68094.96,68044.37,68066.19,8.014
2024-06-01 00:42:00,68066.19,68085.32,68031.85,68032.87,20.749
2024-06-01 00:43:00,68032.87,68084.86,67980.6,68069.65,27.057
2024-06-01 00:44:00,68069.65,68119.83,68063.85,68081.91,9.069
2024-06-01 00:45:00,68081.91,68138.96,68033.94,68127.22,12.874
2024-06-01 00:46:00,68127.22,68176.81,68080.98,68100.58,25.997
2024-06-01 00:47:00,68100.58,68142.62,68099.26,68104.75,21.101
2024-06-01 00:48:00,68104.75,68139.8,68069.06,68077.2,19.142
2024-06-01 00:49:00,68077.2,68133.52,68036.02,68042.86,26.072
2024-06-01 00:50:00,68042.86,68046.31,68017.99,68030.02,9.729
2024-06-01 00:51:00,68030.02,68069.22,67977.18,68053.54,16.988
2024-06-01 00:52:00,68053.54,68068.04,68019.34,68051.19,21.613
2024-06-01 00:53:00,68051.19,68083.36,68030.99,68077.1,12.242
2024-06-01 00:54:00,68077.1,68116.92,68071.01,68085.93,6.23
2024-06-01 00:55:00,68085.93,68101.9,68072.28,68093.68,10.139
2024-06-01 00:56:00,68093.68,68102.75,68075.71,68077.26,18.999
2024-06-01 00:57:00,68077.26,68080.44,68056.43,68065.29,27.292
2024-06-01 00:58:00,68065.29,68107.08,68017.21,68060.07,17.34
2024-06-01 00:59:00,68060.07,68098.51,68012.36,68067.87,16.376
2024-06-01 01:00:00,68067.87,68078.86,68029.31,68059.64,25.301
2024-06-01 01:01:00,68059.64,68090.03,68035.9,68054.65,9.79
2024-06-01 01:02:00,68054.65,68090.37,68043.4,68057.0,9.834
2024-06-01 01:03:00,68057.0,68096.99,68055.21,68060.12,13.153
2024-06-01 01:04:00,68060.12,68109.6,68044.77,68099.46,17.063
2024-06-01 01:05:00,68099.46,68121.61,68073.02,68084.26,12.334
2024-06-01 01:06:00,68084.26,68091.51,68075.37,68081.21,14.971
2024-06-01 01:07:00,68081.21,68126.52,68022.24,68023.72,10.8
2024-06-01 01:08:00,68023.72,68029.24,67990.88,67998.12,16.471
2024-06-01 01:09:00,67998.12,67999.92,67954.74,67974.33,7.598
2024-06-01 01:10:00,67974.33,68012.22,67955.11,68002.31,8.518
2024-06-01 01:11:00,68002.31,68010.12,67996.38,68003.09,19.515
2024-06-01 01:12:00,68003.09,68003.09,67957.41,67984.01,26.058
